"Date" "UA" "Transect" "Parcel" "BacmonANF" "CabfurSUB" "CypbleANF" "CypgarEPI" "EicazuFLU" "EiccraFLU" "EgedenSUB" "HydnymFLU" "NymcaeFLU" "SalaurFLU" "UtrbreSUB" "UtrfolSUB" "Lud1ANF" "Poa1ANF" "MeanTransp" "Depth"
"1" "11/05/2019" "1A" "MAY191" "MAY19A01" 0 80 0 0 0 0 0 0 0 1 0 0 0 0 0.76 1.7
"2" "11/05/2019" "1A" "MAY191" "MAY19A02" 0 90 0 0 0 0 10 0 0 0 0 0 0 0 0.36 1.62
"3" "11/05/2019" "1A" "MAY191" "MAY19A03" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.24 1.56
"4" "11/05/2019" "1A" "MAY191" "MAY19A04" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.13 1.48
"5" "11/05/2019" "1A" "MAY191" "MAY19A05" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.42 1.56
"6" "11/05/2019" "1A" "MAY191" "MAY19A06" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.19 1.56
"7" "11/05/2019" "1A" "MAY191" "MAY19A07" 0 100 0 0 1 0 80 0 0 1 0 0 0 0 0.25 1.54
"8" "11/05/2019" "1A" "MAY191" "MAY19A08" 0 100 0 0 1 0 1 0 0 1 0 0 0 0 0.32 1.54
"9" "11/05/2019" "1A" "MAY191" "MAY19A09" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.5 1.51
"10" "11/05/2019" "1A" "MAY191" "MAY19A10" 0 50 0 0 1 0 5 0 0 0 0 0 0 0 0.58 1.49
"11" "11/05/2019" "1A" "MAY191" "MAY19A11" 0 80 0 0 1 0 30 0 0 1 0 0 0 0 0.37 1.51
"12" "11/05/2019" "1A" "MAY191" "MAY19A12" 0 100 0 0 1 0 0 0 0 15 0 0 0 0 0.42 1.52
"13" "11/05/2019" "1A" "MAY191" "MAY19A13" 0 0 0 1 0 0 20 0 0 20 0 0 0 0 0.18 1.51
"14" "11/05/2019" "1A" "MAY191" "MAY19A14" 0 20 0 1 0 0 10 0 0 40 0 0 0 0 0.58 1.55
"15" "11/05/2019" "1A" "MAY191" "MAY19A15" 0 25 0 0 0 0 0 0 0 50 0 0 0 0 0.15 1.56
"16" "11/05/2019" "1A" "MAY191" "MAY19A16" 0 10 0 10 0 0 0 0 0 100 0 0 0 0 0.35 1.65
"17" "11/05/2019" "1A" "MAY191" "MAY19A17" 0 20 0 1 1 0 10 0 0 0 0 0 0 0 0.58 1.51
"18" "11/05/2019" "1A" "MAY191" "MAY19A18" 0 0 0 0 0 0 25 0 0 20 0 0 0 0 0.42 1.56
"19" "11/05/2019" "1A" "MAY191" "MAY19A19" 0 0 0 0 0 0 1 0 0 50 0 0 0 0 0.9 1.45
"20" "11/05/2019" "1A" "MAY191" "MAY19A20" 0 0 0 1 0 0 1 0 0 80 0 0 0 0 0.89 1.48
"21" "11/05/2019" "1A" "MAY191" "MAY19A21" 0 0 0 1 0 0 0 0 0 80 0 0 0 0 0.43 1.64
"22" "11/05/2019" "1A" "MAY191" "MAY19A22" 0 0 0 1 0 0 100 0 0 0 0 0 0 0 0.2 1.43
"23" "11/05/2019" "1A" "MAY191" "MAY19A23" 0 0 0 5 0 0 0 0 0 100 0 0 0 0 0.48 1.67
"24" "11/05/2019" "1A" "MAY191" "MAY19A24" 0 0 0 1 1 0 0 0 0 100 0 0 0 0 0.5 1.18
"25" "11/05/2019" "1A" "MAY191" "MAY19A25" 0 0 0 0 0 0 0 0 0 100 0 0 0 50 0.11 1.55
"26" "11/05/2019" "2B" "MAY192" "MAY19B01" 0 80 0 0 0 0 0 0 0 1 0 0 0 0 0.7 1.44
"27" "11/05/2019" "2B" "MAY192" "MAY19B02" 0 80 0 0 0 0 0 0 0 1 0 0 0 0 0.4 1.42
"28" "11/05/2019" "2B" "MAY192" "MAY19B03" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.53 1.45
"29" "11/05/2019" "2B" "MAY192" "MAY19B04" 0 100 0 0 0 0 0 0 25 0 0 0 0 0 0.4 1.48
"30" "11/05/2019" "2B" "MAY192" "MAY19B05" 0 100 0 0 0 0 0 0 25 1 0 0 0 0 0.37 1.05
"31" "11/05/2019" "2B" "MAY192" "MAY19B06" 0 50 0 0 1 0 0 0 25 1 0 1 0 0 0.65 1.43
"32" "11/05/2019" "2B" "MAY192" "MAY19B07" 0 10 0 0 0 0 1 0 0 10 0 0 0 0 0.54 1.46
"33" "11/05/2019" "2B" "MAY192" "MAY19B08" 0 100 0 0 0 0 0 0 0 20 0 0 0 0 0.37 1.48
"34" "11/05/2019" "2B" "MAY192" "MAY19B09" 0 100 0 0 0 0 0 0 0 1 0 10 0 0 0.25 1.28
"35" "11/05/2019" "2B" "MAY192" "MAY19B10" 0 100 0 0 0 0 0 0 0 1 0 10 0 0 0.32 1.3
"36" "11/05/2019" "2B" "MAY192" "MAY19B11" 0 0 0 0 0 0 0 0 0 1 0 100 0 0 0.45 1.58
"37" "11/05/2019" "2B" "MAY192" "MAY19B12" 0 0 0 0 0 0 0 0 0 1 0 20 0 0 1.05 1.57
"38" "11/05/2019" "2B" "MAY192" "MAY19B13" 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0.83 1.6
"39" "11/05/2019" "2B" "MAY192" "MAY19B14" 0 100 0 0 0 0 1 0 0 0 0 10 0 0 0.35 1.62
"40" "11/05/2019" "2B" "MAY192" "MAY19B15" 0 0 0 0 0 0 0 0 0 1 0 100 0 0 0.25 1.65
"41" "11/05/2019" "2B" "MAY192" "MAY19B16" 0 0 0 0 0 0 0 0 0 1 0 100 0 0 0.23 1.6
"42" "11/05/2019" "2B" "MAY192" "MAY19B17" 0 100 0 0 0 0 0 0 0 25 0 100 0 0 0.35 1.56
"43" "11/05/2019" "2B" "MAY192" "MAY19B18" 0 0 0 20 0 0 0 0 0 100 0 0 0 0 0.47 1.55
"44" "11/05/2019" "2B" "MAY192" "MAY19B19" 0 0 0 5 0 0 0 0 0 100 0 0 0 0 0.5 1.5
"45" "11/05/2019" "2B" "MAY192" "MAY19B20" 0 0 0 5 0 0 0 0 0 100 0 0 0 0 0.25 1.53
"46" "11/05/2019" "2B" "MAY192" "MAY19B21" 0 0 0 10 0 0 0 0 0 100 0 0 0 0 0.32 1.49
"47" "11/05/2019" "2B" "MAY192" "MAY19B22" 0 0 0 5 0 0 0 0 0 100 0 0 0 0 0.4 1.56
"48" "11/05/2019" "2B" "MAY192" "MAY19B23" 0 0 0 0 100 0 10 0 0 100 0 0 0 0 0.19 1.55
"49" "11/05/2019" "2B" "MAY192" "MAY19B24" 0 0 0 0 100 0 0 0 0 100 0 0 0 0 0.16 0.63
"50" "11/05/2019" "2B" "MAY192" "MAY19B25" 0 0 0 0 25 0 0 0 0 100 0 0 0 0 0.18 1.47
"51" "11/05/2019" "3C" "MAY193" "MAY19C01" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.34 0.68
"52" "11/05/2019" "3C" "MAY193" "MAY19C02" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.33 1.66
"53" "11/05/2019" "3C" "MAY193" "MAY19C03" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.48 1.61
"54" "11/05/2019" "3C" "MAY193" "MAY19C04" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.35 1.55
"55" "11/05/2019" "3C" "MAY193" "MAY19C05" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.47 1.56
"56" "11/05/2019" "3C" "MAY193" "MAY19C06" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.33 1.53
"57" "11/05/2019" "3C" "MAY193" "MAY19C07" 0 100 0 0 0 0 0 0 0 1 0 0 0 0 0.38 1.55
"58" "11/05/2019" "3C" "MAY193" "MAY19C08" 0 100 0 0 0 0 50 0 0 0 0 0 0 0 0.37 1.55
"59" "11/05/2019" "3C" "MAY193" "MAY19C09" 0 100 0 0 0 0 50 0 0 0 0 0 0 0 0.39 1.48
"60" "11/05/2019" "3C" "MAY193" "MAY19C10" 0 100 0 0 0 0 100 0 0 0 0 0 0 0 0.6 1.57
"61" "11/05/2019" "3C" "MAY193" "MAY19C11" 0 100 0 0 0 0 100 0 0 0 0 0 0 0 0.4 1.6
"62" "11/05/2019" "3C" "MAY193" "MAY19C12" 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0.32 1.55
