"ienv.cp" "zenv.cp" "freq" "maxgrp" "IndVal" "obsiv.prob" "zscore" "5%" "10%" "50%" "90%" "95%" "purity" "reliability" "z.median" "filter"
"CabfurSUB" 2.405 1.78 499 1 29.15 0.01 6.56 1.5485 1.719 1.78 1.93 1.93025 0.92 1 7.07655717161591 0
"CypbleANF" 1.26 1.2 47 2 4.82 0.01 3.89 1.229 1.26 1.59 2.0755 2.08 0.56 1 5.3233422399521 0
"CypgarEPI" 0.65 0.65 264 1 67.49 0.01 9.28 0.53 0.57 1.8025 2.2 2.2 0.5 1 8.25742850825664 0
"EicazuFLU" 0.65 1.45 504 1 46.84 0.01 26.46 1.4295 1.4445 1.54 1.551 1.56 1 1 26.0426842533562 1
"EiccraFLU" 2.24 1.18 89 1 9.57 0.01 4.3 1 1.17 1.64 2.2255 2.23575 0.49 0.94 6.4029652322924 0
"EgedenSUB" 2.58 2.1 389 1 30.98 0.01 4.78 1.199 1.26 1.79 2.0905 2.1 0.94 1 5.30620357283397 0
"HydnymFLU" 1.17 1.54 45 1 6.59 0.01 12.97 1.3295 1.409 1.48 1.55 1.56 1 1 12.9937043966844 1
"NymcaeFLU" 1.75 1.72 76 1 7.32 0.01 6.61 1.67 1.68 1.73 1.761 1.78 0.99 1 7.60690711369266 1
"SalaurFLU" 2.525 1.845 932 1 48.46 0.01 7.08 1.78 1.79 1.855 1.93 2.4965 1 1 7.07829304731489 1
"UtrbreSUB" 1.26 1.26 40 1 7.37 0.01 10.32 1.2475 1.26 1.3 1.47 1.845 0.92 1 10.1019825228373 0
"UtrfolSUB" 1.975 1.87 256 2 30.24 0.01 15.95 1.79 1.8245 1.9 1.97 1.97525 0.99 1 16.4815995272296 2
"Poa1ANF" 1.17 1.3 13 1 2.05 0.01 5.11 1 1.1655 1.18 1.3 1.624 0.96 0.9 6.31878302493096 0
