"ienv.cp" "zenv.cp" "freq" "maxgrp" "IndVal" "obsiv.prob" "zscore" "5%" "10%" "50%" "90%" "95%" "purity" "reliability" "z.median" "filter"
"CabfurSUB" 0.095 0.2225 499 2 38.14 0.01 10.77 0.175 0.175 0.22375 0.25 0.27 1 1 10.9699491724906 2
"CypbleANF" 1.005 1 47 2 11.86 0.01 11.48 0.1 0.1025 1 1.09525 1.1355 0.85 0.99 11.2730029984192 0
"CypgarEPI" 0.2125 0.67 264 1 22.62 0.01 8.67 0.20975 0.21225 0.61 0.67025 0.68 1 1 9.57268990978197 1
"EicazuFLU" 0.095 0.61 504 1 32.99 0.01 9.81 0.235 0.249 0.5275 0.61 0.61525 1 1 11.1451984231643 1
"EiccraFLU" 0.675 0.67 89 1 7.59 0.01 4.11 0.24 0.43975 0.6 0.69 0.697625 0.99 1 4.9620676841911 1
"EgedenSUB" 1.4025 0.235 389 2 32.25 0.01 9.75 0.237375 0.24 0.275 0.4 0.411 0.99 1 11.0432812017878 2
"HydnymFLU" 0.185 0.235 45 1 6.36 0.01 6.85 0.182375 0.18725 0.24 0.43 0.43 1 1 7.08585340811265 1
"NymcaeFLU" 1.1 0.6475 76 2 7.02 0.01 5.13 0.22975 0.23975 0.635 0.8 0.899999999999999 1 0.99 6.84250250499497 2
"SalaurFLU" 0.125 0.3 932 1 65.79 0.01 26.18 0.262375 0.27475 0.31 0.3605 0.371 1 1 24.9136716850461 1
"UtrbreSUB" 1.435 0.495 40 2 4.54 0.01 6.41 0.365 0.37 0.49 1.4 1.485 1 1 7.74457000638865 2
"UtrfolSUB" 1.22 0.225 256 2 16.71 0.02 3.43 0.2 0.21225 0.305 1.03275 1.0825 0.66 0.99 4.743590728248 0
"Poa1ANF" 0.11 0.175 13 1 4.79 0.01 10.72 0.112375 0.1175 0.175 0.52 0.53075 1 0.96 8.72290922162056 1
